model_a,model_b,lang,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,0,0.7844746980275279,0.29525750322339017
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,1,0.6719660892745443,0.18378187175809807
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,2,0.77097756838765,0.06709504002468819
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,3,0.7845445874805334,0.046681737626330544
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,4,0.7956427111839822,0.030098411768452727
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,5,0.7694518824243793,0.0317246181114255
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,6,0.7121373097156734,0.035874890601776385
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,7,0.6443292326127009,0.038328110106686984
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,8,0.5499411173999349,0.042348020155384566
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,9,0.4720160533266918,0.04447103996730218
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,10,0.45029222750517145,0.05494470155046132
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,11,0.6254417812051284,0.10936403330572357
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,mean_pool,12,0.8849465415724521,0.24717691768852837
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,0,0.7797776304742909,0.021079343105736607
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,1,0.657121969497519,0.01648856035986697
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,2,0.255639653994987,0.008137318349860529
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,3,0.11476548377256036,0.004073471710287846
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,4,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,5,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,6,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,7,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,8,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,9,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,10,0.15427908820491695,0.004183471831274107
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,11,0.20369131213734054,0.005039927999004272
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,token_aligned,12,0.7113320376999004,0.03295629278270326
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,0,0.7413113238535904,0.30183851823383795
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,1,0.7380587581748073,0.21789000855873442
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,2,0.48011146650545644,0.06783472336790727
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,3,0.3433145054584319,0.045941022606687434
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,4,0.2865666039555817,0.03880258206823035
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,5,0.26508677170878653,0.041416294248016114
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,6,0.22728919349891394,0.0428512777020871
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,7,0.20247982151467017,0.045520198833968115
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,8,0.19334526826038767,0.04828689801553159
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,9,0.1887739368017278,0.0485701851120579
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,10,0.22262975739514054,0.05555511188597054
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,11,0.39004670175745826,0.09786160155427798
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-160m,eng_latn,sgpt,12,0.8867864547448825,0.25082779431213587
