residual_frob2,target_frob2,residual_eff_rank,target_eff_rank,rotated_eff_rank,residual_k50,residual_k90,residual_k95,residual_k99,target_k90,target_k95,residual_frac_outside_Ytop10,residual_frac_outside_Ytop50,residual_to_target_frob_ratio,n_test,dim,pair,src,tgt,layer,n_train,size,elapsed_s
34.7725230931324,34.716170940775456,126.34392231617862,30.84351345556116,33.84284332831792,65,283,358,483,217,300,0.8441581130027771,0.6553115844726562,1.0008112833489085,610,768,eng_latn-zho_hans,eng_latn,zho_hans,0,2440,1000mb,0.668
3241.8247899405205,3544.8195577850415,149.49647441009262,34.813572743536376,44.32468951178456,56,211,276,412,135,189,0.8882823586463928,0.6361749768257141,0.9563078106518457,610,768,eng_latn-zho_hans,eng_latn,zho_hans,1,2440,1000mb,0.652
5187.179197191066,6810.928513632399,122.97645425724353,21.499918986972755,27.97819515246746,51,211,279,416,124,181,0.8610264658927917,0.592512845993042,0.8726949537505885,610,768,eng_latn-zho_hans,eng_latn,zho_hans,2,2440,1000mb,0.663
8831.108486348641,12264.633620606015,119.64235838292741,24.836710441050275,30.42150146879095,48,217,289,430,124,187,0.8529130220413208,0.5710194706916809,0.8485556322095682,610,768,eng_latn-zho_hans,eng_latn,zho_hans,3,2440,1000mb,0.654
13116.797453329362,18118.924650088687,125.39246157009806,25.599363179726254,36.285426889152745,53,230,304,444,132,198,0.8591066598892212,0.5954568982124329,0.8508396038131236,610,768,eng_latn-zho_hans,eng_latn,zho_hans,4,2440,1000mb,0.66
16507.59562323566,21790.05213033997,125.12872629225582,22.25860576476139,41.66670972892597,56,240,315,451,135,205,0.8669649362564087,0.6210447549819946,0.8703877623465451,610,768,eng_latn-zho_hans,eng_latn,zho_hans,5,2440,1000mb,0.659
21364.923040808702,26434.515901673083,141.04787364581207,23.640579824181806,48.4688054615223,61,253,328,461,149,222,0.8836302161216736,0.6615965366363525,0.8990109585419714,610,768,eng_latn-zho_hans,eng_latn,zho_hans,6,2440,1000mb,0.666
30057.730070162415,38238.81146295094,156.21488704106136,30.128095496409394,56.34087834919613,66,262,336,467,154,229,0.8909350037574768,0.6736727952957153,0.8865962651185716,610,768,eng_latn-zho_hans,eng_latn,zho_hans,7,2440,1000mb,0.662
46212.00425580836,59407.26230771964,179.99136772579277,42.53425050770826,64.04280268941947,69,265,340,469,157,232,0.9076653718948364,0.6920483708381653,0.8819777574296473,610,768,eng_latn-zho_hans,eng_latn,zho_hans,8,2440,1000mb,0.668
67761.79531101108,92053.0438384242,170.21076308568865,46.880770147217596,61.69116077602264,67,264,339,469,154,229,0.8903756141662598,0.6736801266670227,0.8579725143092818,610,768,eng_latn-zho_hans,eng_latn,zho_hans,9,2440,1000mb,0.665
96138.78856315128,133737.41632579855,160.6471158598554,47.62522896572574,57.04492791507785,66,264,340,470,154,228,0.8814185261726379,0.6660942435264587,0.8478574844637307,610,768,eng_latn-zho_hans,eng_latn,zho_hans,10,2440,1000mb,0.659
127324.84245515287,180988.80473295646,139.78961485206585,45.16865619852395,51.258313554898415,64,263,339,470,152,227,0.8621092438697815,0.6488564014434814,0.8387464939356339,610,768,eng_latn-zho_hans,eng_latn,zho_hans,11,2440,1000mb,0.661
304597.0745267173,397771.9332218203,170.8063519384358,54.261534972180336,67.44522566756721,69,269,344,473,163,238,0.8908631205558777,0.6838526129722595,0.8750760462380041,610,768,eng_latn-zho_hans,eng_latn,zho_hans,12,2440,1000mb,0.661
31.085342372966558,28.461111508362386,134.2453109784652,36.639769000846776,36.161506324657005,67,283,358,484,218,300,0.8683170080184937,0.669409453868866,1.045085685105536,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,0,2450,1000mb,0.668
2940.8653651295945,3045.873147505514,158.30898902477446,37.96353725249442,47.71983294692198,58,217,282,418,140,197,0.9036685228347778,0.660987138748169,0.9826110987309764,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,1,2450,1000mb,0.655
4430.560037428613,5566.013304947541,132.05647106898834,17.8236599675181,28.888009410927236,55,220,289,426,131,191,0.8707111477851868,0.6383365988731384,0.8921896748207023,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,2,2450,1000mb,0.654
6445.194211824921,7584.163704800705,121.5713922845996,15.537476254222055,31.376574975634384,52,223,295,435,127,189,0.8696194887161255,0.6362339854240417,0.9218582673354444,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,3,2450,1000mb,0.654
9649.451067136739,11065.2295793661,134.11374754604284,17.982999542733296,37.03815377945799,56,234,308,447,131,196,0.8842481374740601,0.6536051630973816,0.9338370263023344,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,4,2450,1000mb,0.658
13561.327997833694,16461.156040576792,153.20058257293377,24.4847532921586,42.68789778073014,62,248,322,457,141,210,0.8985840678215027,0.676133394241333,0.9076552920874801,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,5,2450,1000mb,0.66
19233.217601920544,24764.355865553112,174.70089640773597,35.61125316920497,49.66749798871898,67,258,333,465,150,221,0.9119042158126831,0.6941450238227844,0.881277037815444,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,6,2450,1000mb,0.658
25722.98516487871,32393.639438976435,192.10634383673056,41.93452247571627,57.74958333198,72,270,345,473,161,235,0.9215788841247559,0.7167541980743408,0.891108962461689,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,7,2450,1000mb,0.658
36874.76466763144,42987.97561039732,202.0026943215859,45.322164547799986,65.68267023430793,74,273,348,476,163,239,0.9277117252349854,0.7346965074539185,0.926170900640347,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,8,2450,1000mb,0.662
53553.83250805734,67111.5485809879,200.84951633745936,50.86265979301517,62.80218400267997,73,274,348,477,162,237,0.9245901107788086,0.720714271068573,0.8932985888065128,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,9,2450,1000mb,0.659
78101.72852551324,104491.3562838347,192.63189941900524,51.12129042977247,57.76810628953468,71,272,346,476,157,232,0.9190422892570496,0.7068056464195251,0.8645500488798064,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,10,2450,1000mb,0.66
103538.88872710019,142822.0695175117,178.9288113171288,46.004482045959676,51.85907009985434,71,274,348,477,158,234,0.9086325168609619,0.6990867257118225,0.8514400777877748,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,11,2450,1000mb,0.661
271838.2833564617,355017.9776815367,204.0792083502601,67.5863832065437,68.5098747686682,74,277,352,479,171,248,0.927536129951477,0.7187697887420654,0.8750444943120442,613,768,eng_latn-rus_cyrl,eng_latn,rus_cyrl,12,2450,1000mb,0.661
52.766655500613275,46.78453682358483,82.03845932887795,36.41631356499286,40.765902982238266,57,316,411,573,240,342,0.7908045649528503,0.6169531941413879,1.0620100265983605,893,768,eng_latn-arb_arab,eng_latn,arb_arab,0,3570,1000mb,0.962
4446.55861527875,4046.629832077291,138.98625962850255,44.47515607541007,52.81392320978528,58,231,306,472,152,211,0.8770670890808105,0.6469385623931885,1.0482509662271586,893,768,eng_latn-arb_arab,eng_latn,arb_arab,1,3570,1000mb,0.95
6692.5025706874,6798.8497161020405,110.9582735210773,28.218527580994714,32.744471828355756,52,230,309,479,141,202,0.8475316166877747,0.6121478080749512,0.9921482086512169,893,768,eng_latn-arb_arab,eng_latn,arb_arab,2,3570,1000mb,0.953
11197.97657165383,12117.907280278172,114.264254290367,36.50741337691507,35.01558203879529,50,240,327,504,143,213,0.8511415719985962,0.5930719971656799,0.9612934090932073,893,768,eng_latn-arb_arab,eng_latn,arb_arab,3,3570,1000mb,0.952
17506.32253916056,19976.618039247358,132.4254796356929,44.740737353093955,41.5199402547382,56,260,351,526,154,231,0.8689377903938293,0.6198830604553223,0.9361306827031152,893,768,eng_latn-arb_arab,eng_latn,arb_arab,4,3570,1000mb,0.959
24402.083023251023,27918.626469337854,147.55763006103004,51.699912973745235,47.4891803642025,63,279,370,542,171,255,0.8794187307357788,0.6479911804199219,0.9349027259717014,893,768,eng_latn-arb_arab,eng_latn,arb_arab,5,3570,1000mb,0.955
32459.19428825016,36784.84146602932,154.30210835405043,54.59413571928131,54.320319746210856,67,292,384,552,181,270,0.8832881450653076,0.6675400137901306,0.9393651053417545,893,768,eng_latn-arb_arab,eng_latn,arb_arab,6,3570,1000mb,0.959
44586.90654040095,52340.36150717515,153.08863291815493,53.06527927378851,61.7218915912524,70,302,394,560,184,274,0.8810353875160217,0.6725153923034668,0.9229651692109421,893,768,eng_latn-arb_arab,eng_latn,arb_arab,7,3570,1000mb,0.956
65478.39889880827,76003.75957730657,147.4845571377497,53.21653781111464,69.1377604961699,71,306,399,564,184,276,0.8798828721046448,0.6845388412475586,0.928178464900455,893,768,eng_latn-arb_arab,eng_latn,arb_arab,8,3570,1000mb,0.962
97557.16107095288,119074.50599860422,116.81172463888262,51.622749235621164,65.22012622742434,67,303,397,562,179,270,0.8573250770568848,0.6554716229438782,0.9051492224358353,893,768,eng_latn-arb_arab,eng_latn,arb_arab,9,3570,1000mb,0.959
141236.63792715385,176355.81215178262,99.89088143448083,47.78587673755966,60.15444320639242,63,299,393,560,174,265,0.8428709506988525,0.6385866403579712,0.8949088372731233,893,768,eng_latn-arb_arab,eng_latn,arb_arab,10,3570,1000mb,0.965
186275.51173353853,232741.91389477777,92.76779432782683,46.50512460951096,54.66697823570666,62,300,394,561,177,267,0.8314074873924255,0.6310892105102539,0.8946240765299086,893,768,eng_latn-arb_arab,eng_latn,arb_arab,11,3570,1000mb,0.958
473187.3916116609,570121.5260188603,115.26337114790307,55.08922421740489,69.01046252632332,66,306,399,564,188,279,0.8486933708190918,0.6541003584861755,0.9110303862749756,893,768,eng_latn-arb_arab,eng_latn,arb_arab,12,3570,1000mb,0.964
