method,train_mse,mse,cka,p_at_1,p_at_5,p_at_10,p_at_1_pool,p_at_5_pool,p_at_10_pool,pair,src,tgt,datasets,size,layer,n_train,n_test,elapsed_s,ridge_lambda,mlp_train_loss_final,mlp_val_loss_final,mlp_test_loss_final,mlp_best_val_loss,mlp_best_epoch,mlp_epochs_run
ridge,0.0711393877863884,0.09890492260456085,0.8354569578256696,0.9180327868852459,0.9852459016393442,0.9950819672131147,0.8245901639344262,0.9508196721311475,0.9754098360655737,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,9,2440,610,6.48,100.0,,,,,,
mlp,0.0733078196644783,0.10007268190383911,0.8345178563916453,0.9032786885245901,0.9819672131147541,0.9918032786885246,0.7918032786885246,0.9442622950819672,0.9737704918032787,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,9,2440,610,6.48,,0.06894986757210322,0.10040843486785889,0.100112684071064,0.10017333924770355,106.0,127.0
identity,0.9231505990028381,0.9307110905647278,0.7822947402846561,0.0,0.00819672131147541,0.018032786885245903,0.0,0.0,0.0,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,10,2440,610,6.08,,,,,,,
procrustes,0.15400096774101257,0.20888450741767883,0.7822947355519387,0.9639344262295082,0.9901639344262295,0.9950819672131147,0.8967213114754098,0.9704918032786886,0.9868852459016394,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,10,2440,610,6.08,,,,,,,
affine,0.08435770124197006,0.18337644636631012,0.7919209719715902,0.919672131147541,0.9852459016393442,0.9918032786885246,0.8213114754098361,0.9557377049180328,0.9770491803278688,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,10,2440,610,6.08,,,,,,,
ridge,0.09844543784856796,0.14349699020385742,0.8255561684179938,0.9049180327868852,0.9868852459016394,0.9918032786885246,0.8049180327868852,0.9475409836065574,0.9688524590163935,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,10,2440,610,6.08,100.0,,,,,,
mlp,0.10179100185632706,0.14466822147369385,0.8230766307816478,0.8819672131147541,0.9770491803278688,0.9918032786885246,0.7573770491803279,0.9344262295081968,0.9590163934426229,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,10,2440,610,6.08,,0.09363958707877568,0.1485128104686737,0.14493869245052338,0.14811377227306366,96.0,117.0
identity,1.3071073293685913,1.3186523914337158,0.7733544374838348,0.0,0.00819672131147541,0.01639344262295082,0.0,0.0,0.003278688524590164,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,11,2440,610,5.5,,,,,,,
procrustes,0.21521596610546112,0.28690212965011597,0.773354431816542,0.940983606557377,0.9852459016393442,0.9918032786885246,0.8639344262295082,0.9573770491803278,0.9754098360655737,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,11,2440,610,5.5,,,,,,,
affine,0.11334864795207977,0.24661073088645935,0.7794201141967859,0.8868852459016393,0.9737704918032787,0.9885245901639345,0.7426229508196721,0.9278688524590164,0.9508196721311475,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,11,2440,610,5.5,,,,,,,
ridge,0.16738134622573853,0.19504137337207794,0.8096664534584325,0.7262295081967213,0.8950819672131147,0.9393442622950819,0.5737704918032787,0.7983606557377049,0.8475409836065574,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,11,2440,610,5.5,1000.0,,,,,,
mlp,0.13937225937843323,0.19654357433319092,0.8111039052728755,0.8311475409836065,0.9508196721311475,0.9819672131147541,0.6819672131147541,0.8754098360655738,0.9229508196721311,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,11,2440,610,5.5,,0.12654075835432324,0.19570791721343994,0.1968207061290741,0.19531020522117615,75.0,96.0
identity,2.3912224769592285,2.4042391777038574,0.7632168712315222,0.0,0.00819672131147541,0.018032786885245903,0.0,0.0,0.004918032786885246,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,12,2440,610,4.72,,,,,,,
procrustes,0.49766144156455994,0.6790356040000916,0.7632168701412547,0.940983606557377,0.9934426229508196,0.9967213114754099,0.8573770491803279,0.9590163934426229,0.9754098360655737,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,12,2440,610,4.72,,,,,,,
affine,0.2637273967266083,0.567382276058197,0.7725145517628254,0.8721311475409836,0.9770491803278688,0.9901639344262295,0.7344262295081967,0.919672131147541,0.9475409836065574,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,12,2440,610,4.72,,,,,,,
ridge,0.34132373332977295,0.4342147409915924,0.8080283939909698,0.8278688524590164,0.9508196721311475,0.9721311475409836,0.6836065573770492,0.8754098360655738,0.9229508196721311,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,12,2440,610,4.72,1000.0,,,,,,
mlp,0.3364560306072235,0.45431628823280334,0.8060006299999282,0.840983606557377,0.9524590163934427,0.978688524590164,0.6819672131147541,0.8836065573770492,0.9278688524590164,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,12,2440,610,4.72,,0.29835120694977896,0.45845261216163635,0.45536530017852783,0.45610812306404114,50.0,71.0
identity,0.00014269037637859583,0.00014020860544405878,0.6945892302852074,0.017830609212481426,0.03268945022288262,0.05052005943536404,0.005943536404160475,0.014858841010401188,0.020802377414561663,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,0,2690,673,5.3,,,,,,,
